Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,262," 746,880,382.00 "," 2,850,688.48 ",0%,43%,#N/A,7%,0%,0,5%,7%,109.51
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,277," 755,406,180.00 "," 2,727,098.12 ",0%,92%,2.64,9%,0%,5,6%,7%,111.93
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,234," 775,529,573.00 "," 3,314,228.94 ",0%,8%,2.47,104%,0%,5,9%,9%,121.95
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,269," 856,593,755.00 "," 3,184,363.40 ",0%,5%,2.49,100%,0%,5,7%,13%,151.77
310,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,0," 904,289,533.00 ", -   ,0%,11%,3.05,106%,0%,1,#N/A,#N/A,151.77
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,20," 35,659,444.00 "," 1,782,972.20 ",0%,30%,#N/A,11%,0%,0,7%,10%,101.78
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,21," 39,399,933.00 "," 1,876,187.29 ",0%,31%,#N/A,8%,0%,0,7%,13%,103.78
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,20," 24,000,398.00 "," 1,200,019.90 ",0%,386%,#N/A,11%,0%,0,7%,10%,101.78
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,17," 26,199,899.00 "," 1,541,170.53 ",0%,59%,#N/A,9%,0%,0,5%,10%,103.37
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,21," 29,571,918.00 "," 1,408,186.57 ",1%,39%,#N/A,8%,0%,0,6%,9%,101.88
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,27," 35,528,653.00 "," 1,315,876.04 ",0%,10%,#N/A,9%,0%,0,5%,9%,102.55
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,31," 35,881,715.00 "," 1,157,474.68 ",0%,94%,#N/A,8%,0%,0,5%,7%,109.51
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,45," 32,168,291.00 "," 714,850.91 ",0%,165%,2.72,9%,0%,5,6%,7%,111.93
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,21," 31,087,985.00 "," 1,480,380.24 ",0%,121%,2.41,7%,0%,5,9%,9%,121.95
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,18," 33,307,241.00 "," 1,850,402.28 ",0%,11%,2.43,99%,0%,5,7%,13%,151.77
311,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,0," 40,098,930.00 ", -   ,0%,5%,1.58,94%,0%,1,#N/A,#N/A,151.77
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,29," 81,626,769.00 "," 2,814,716.17 ",0%,10%,#N/A,10%,0%,0,7%,10%,101.78
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,58," 86,422,101.00 "," 1,490,036.22 ",0%,63%,#N/A,8%,0%,0,7%,13%,103.78
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,59," 100,440,721.00 "," 1,702,385.10 ",0%,16%,#N/A,8%,0%,0,7%,10%,101.78
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,61," 117,664,967.00 "," 1,928,933.89 ",0%,110%,#N/A,9%,0%,0,6%,9%,101.88
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,85," 125,832,386.00 "," 1,480,381.01 ",0%,64%,#N/A,9%,0%,0,5%,9%,102.55
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,84," 125,922,259.00 "," 1,499,074.51 ",0%,100%,#N/A,8%,0%,0,5%,7%,109.51
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,88," 143,661,234.00 "," 1,632,514.02 ",0%,19%,2.64,8%,0%,5,6%,7%,111.93
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,77," 161,165,559.00 "," 2,093,059.21 ",0%,19%,2.48,6%,0%,5,9%,9%,121.95
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,0,81," 132,259,028.00 "," 1,632,827.51 ",0%,200%,#N/A,11%,0%,0,7%,13%,151.77
317,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,80," 158,944,105.00 "," 1,986,801.31 ",0%,21%,2.03,10%,0%,1,#N/A,#N/A,151.77
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,81," 72,691,591.00 "," 897,427.05 ",1%,9%,#N/A,11%,0%,0,7%,10%,101.78
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,92," 83,026,262.00 "," 902,459.37 ",1%,29%,#N/A,8%,0%,0,7%,13%,103.78
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,96," 96,667,048.00 "," 1,006,948.42 ",1%,18%,#N/A,8%,0%,0,7%,10%,101.78
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,113," 101,774,072.00 "," 900,655.50 ",1%,74%,#N/A,10%,0%,0,5%,10%,103.37
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,97," 117,606,422.00 "," 1,212,437.34 ",1%,19%,#N/A,8%,0%,0,6%,9%,101.88
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,103," 137,408,328.00 "," 1,334,061.44 ",0%,18%,#N/A,10%,0%,0,5%,9%,102.55
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,112," 155,007,057.00 "," 1,383,991.58 ",0%,24%,#N/A,8%,0%,0,5%,7%,109.51
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,117," 171,800,428.00 "," 1,468,379.73 ",0%,38%,2.54,9%,0%,5,6%,7%,111.93
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,119," 193,648,305.00 "," 1,627,296.68 ",0%,14%,2.26,6%,0%,5,9%,9%,121.95
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,136," 208,689,220.00 "," 1,534,479.56 ",0%,60%,2.3,9%,0%,5,7%,13%,151.77
319,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,125," 251,298,337.00 "," 2,010,386.70 ",0%,8%,1.89,10%,0%,1,#N/A,#N/A,151.77
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 102,428,203.00 ", -   ,0%,23%,#N/A,10%,0%,0,7%,10%,101.78
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,84," 118,808,161.00 "," 1,414,382.87 ",0%,26%,#N/A,7%,0%,0,7%,13%,103.78
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 127,736,617.00 ", -   ,0%,64%,#N/A,8%,0%,0,7%,10%,101.78
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,93," 155,439,140.00 "," 1,671,388.60 ",1%,7%,#N/A,9%,0%,0,5%,10%,103.37
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,89," 167,200,007.00 "," 1,878,651.76 ",0%,64%,#N/A,8%,0%,0,6%,9%,101.88
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,67," 194,879,755.00 "," 2,908,653.06 ",0%,21%,#N/A,9%,0%,0,5%,9%,102.55
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,84," 206,960,525.00 "," 2,463,815.77 ",0%,62%,#N/A,7%,0%,0,5%,7%,109.51
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,88," 226,062,418.00 "," 2,568,891.11 ",0%,46%,2.64,9%,0%,5,6%,7%,111.93
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,52," 241,006,828.00 "," 4,634,746.69 ",0%,52%,2.48,6%,0%,5,9%,9%,121.95
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,83," 241,063,709.00 "," 2,904,382.04 ",0%,100%,2.48,9%,0%,5,7%,13%,151.77
321,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,77," 244,246,702.00 "," 3,172,035.09 ",0%,93%,2.43,11%,0%,1,#N/A,#N/A,151.77
322,Active,Defined Benefit,,,,3,1452," 497,520,478.00 "," 342,644.96 ",88%,3373%,#N/A,#DIV/0!,0%,11,#N/A,#N/A,1110.3
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 49,984,794.00 ", -   ,0%,13%,#N/A,11%,0%,0,7%,10%,101.78
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,78," 56,827,774.00 "," 728,561.21 ",0%,7%,#N/A,8%,0%,0,7%,13%,103.78
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,76," 65,359,929.00 "," 859,999.07 ",1%,8%,#N/A,9%,0%,0,7%,10%,101.78
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,170," 74,031,252.00 "," 435,477.95 ",1%,20%,#N/A,10%,0%,0,5%,10%,103.37
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,172," 84,346,855.00 "," 490,388.69 ",0%,10%,#N/A,9%,0%,0,6%,9%,101.88
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,182," 95,824,253.00 "," 526,506.88 ",0%,13%,#N/A,10%,0%,0,5%,9%,102.55
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,180," 107,913,045.00 "," 599,516.92 ",0%,15%,#N/A,9%,0%,0,5%,7%,109.51
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,195," 121,188,150.00 "," 621,477.69 ",0%,17%,2.72,10%,0%,5,6%,7%,111.93
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,187," 137,136,658.00 "," 733,351.11 ",0%,6%,3.36,10%,0%,5,9%,9%,121.95
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,0,191," 126,421,475.00 "," 661,892.54 ",0%,161%,#N/A,10%,0%,0,7%,13%,151.77
325,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,73," 149,148,408.00 "," 2,043,128.88 ",0%,5%,1.7,11%,0%,1,#N/A,#N/A,151.77
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,0," 959,226,510.00 ", -   ,1%,57%,#N/A,14%,0%,0,7%,10%,101.78
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,524," 1,005,372,377.00 "," 1,918,649.57 ",1%,61%,#N/A,2%,0%,0,7%,13%,103.78
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,0," 1,052,124,854.00 ", -   ,1%,73%,#N/A,7%,0%,0,7%,10%,101.78
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,636," 1,184,704,648.00 "," 1,862,743.16 ",1%,55%,#N/A,17%,0%,0,5%,10%,103.37
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,633," 1,079,107,360.00 "," 1,704,750.96 ",1%,167%,#N/A,5%,0%,0,6%,9%,101.88
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,612," 1,156,249,258.00 "," 1,889,296.17 ",2%,72%,#N/A,17%,0%,0,5%,9%,102.55
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,589," 1,165,844,622.00 "," 1,979,362.69 ",1%,95%,#N/A,7%,0%,0,5%,7%,109.51
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,0," 1,111,150,478.00 ", -   ,1%,125%,3.39,11%,0%,1,6%,7%,111.93
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,0," 1,182,756,056.00 ", -   ,1%,48%,2.91,2%,0%,1,9%,9%,121.95
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,712," 1,184,960,994.00 "," 1,664,271.06 ",1%,98%,2.92,0%,0%,5,7%,13%,151.77
326,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,762," 1,523,205,584.00 "," 1,998,957.46 ",1%,34%,3.82,24%,0%,5,#N/A,#N/A,151.77
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,20," 71,051,060.00 "," 3,552,553.00 ",1%,9%,#N/A,8%,0%,0,7%,10%,101.78
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,16," 80,544,459.00 "," 5,034,028.69 ",1%,11%,#N/A,7%,0%,0,7%,13%,103.78
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,45," 89,607,299.00 "," 1,991,273.31 ",1%,28%,#N/A,8%,0%,0,7%,10%,101.78
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,46," 101,443,235.00 "," 2,205,287.72 ",1%,17%,#N/A,9%,0%,0,5%,10%,103.37
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,45," 115,054,711.00 "," 2,556,771.36 ",1%,10%,#N/A,8%,0%,0,6%,9%,101.88
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,19," 131,166,581.00 "," 6,903,504.26 ",1%,15%,#N/A,9%,0%,0,5%,9%,102.55
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,45," 140,840,250.00 "," 3,129,783.33 ",1%,48%,#N/A,8%,0%,0,5%,7%,109.51
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,22," 155,568,788.00 "," 7,071,308.55 ",0%,25%,2.8,8%,0%,5,6%,7%,111.93
328,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,17," 103,130,151.00 "," 6,066,479.47 ",1%,394%,2.44,11%,0%,5,9%,9%,121.95
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,75," 15,205,786.00 "," 202,743.81 ",1%,87%,#N/A,10%,1%,0,7%,10%,101.78
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 17,074,238.00 ", -   ,0%,16%,#N/A,5%,1%,0,7%,13%,103.78
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,60," 15,682,068.00 "," 261,367.80 ",0%,143%,#N/A,10%,0%,0,7%,10%,101.78
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,54," 17,195,024.00 "," 318,426.37 ",0%,46%,#N/A,7%,2%,0,5%,10%,103.37
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,59," 11,636,014.00 "," 197,220.58 ",1%,506%,#N/A,8%,11%,0,6%,9%,101.88
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,58," 9,905,929.00 "," 170,791.88 ",0%,189%,#N/A,13%,15%,0,5%,9%,102.55
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,51," 5,468,099.00 "," 107,217.63 ",2%,922%,#N/A,10%,52%,0,5%,7%,109.51
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,18," 2,199,811.00 "," 122,211.72 ",3%,842%,4.32,20%,381%,5,6%,7%,111.93
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,51," 2,377,064.00 "," 46,609.10 ",1%,10%,4.08,8%,421%,5,9%,9%,121.95
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,0,18," 2,475,697.00 "," 137,538.72 ",1%,36%,#N/A,5%,524%,0,7%,13%,151.77
33,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,18," 2,523,455.00 "," 140,191.94 ",1%,86%,3.79,14%,563%,1,#N/A,#N/A,151.77
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,37," 39,676,031.00 "," 1,072,325.16 ",0%,10%,#N/A,11%,0%,0,7%,10%,101.78
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,35," 31,686,412.00 "," 905,326.06 ",0%,6%,#N/A,7%,0%,0,7%,13%,103.78
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,37," 31,054,362.00 "," 839,307.08 ",0%,110%,#N/A,9%,0%,0,7%,10%,101.78
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,39," 39,340,468.00 "," 1,008,729.95 ",0%,4%,#N/A,8%,0%,0,5%,10%,103.37
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,36," 40,122,297.00 "," 1,114,508.25 ",0%,91%,#N/A,9%,0%,0,6%,9%,101.88
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,38," 49,070,465.00 "," 1,291,328.03 ",0%,4%,#N/A,9%,0%,0,5%,9%,102.55
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,38," 54,007,572.00 "," 1,421,251.89 ",0%,39%,#N/A,7%,0%,0,5%,7%,109.51
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 58,877,886.00 ", -   ,0%,40%,3.54,8%,0%,5,6%,7%,111.93
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,36," 50,013,288.00 "," 1,389,258.00 ",0%,240%,2.38,7%,0%,5,9%,9%,121.95
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,0," 58,632,744.00 ", -   ,0%,2%,2.38,9%,0%,5,7%,13%,151.77
334,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,33," 59,864,195.00 "," 1,814,066.52 ",0%,88%,2.36,11%,0%,1,#N/A,#N/A,151.77
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,1959," 2,704,095,728.00 "," 1,380,344.94 ",1%,28%,#N/A,9%,0%,0,7%,10%,101.78
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,1863," 3,015,289,755.00 "," 1,618,513.02 ",1%,46%,#N/A,4%,0%,0,7%,13%,103.78
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,1941," 3,492,660,432.00 "," 1,799,412.90 ",1%,37%,#N/A,8%,0%,0,7%,10%,101.78
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,1984," 4,219,263,175.00 "," 2,126,644.75 ",1%,32%,#N/A,12%,0%,0,5%,10%,103.37
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,1991," 4,784,105,718.00 "," 2,402,865.75 ",1%,27%,#N/A,4%,0%,0,6%,9%,101.88
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,1909," 5,222,180,433.00 "," 2,735,558.11 ",1%,63%,#N/A,12%,0%,0,5%,9%,102.55
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,1895," 5,433,580,162.00 "," 2,867,324.62 ",0%,70%,#N/A,2%,0%,0,5%,7%,109.51
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,5,1910," 6,299,449,059.00 "," 3,298,140.87 ",0%,30%,3.48,10%,0%,1,6%,7%,111.93
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,5,1977," 6,569,943,916.00 "," 3,323,188.63 ",0%,67%,3.18,2%,0%,1,9%,9%,121.95
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,5,2076," 6,759,145,934.00 "," 3,255,850.64 ",0%,79%,3.18,2%,0%,1,7%,13%,151.77
34,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,5,2075," 8,453,252,104.00 "," 4,073,856.44 ",0%,31%,3.98,19%,0%,1,#N/A,#N/A,151.77
340,Transitioning,Defined Contribution,Pension Scheme,Segregated funds,2015,0,0," 275,951,943.00 ", -   ,0%,31%,#N/A,7%,0%,0,7%,13%,103.78
340,Transitioning,Defined Contribution,Pension Scheme,Segregated funds,2016,0,0, -   , -   ,0%,0%,#N/A,#DIV/0!,0%,0,7%,10%,101.78
340,Transitioning,Defined Contribution,Pension Scheme,Segregated funds,2017,0,401," 203,171,931.00 "," 506,663.17 ",0%,112%,#N/A,9%,0%,0,5%,10%,103.37
340,Transitioning,Defined Contribution,Pension Scheme,Segregated funds,2018,0,395," 215,582,657.00 "," 545,778.88 ",1%,64%,#N/A,8%,0%,0,6%,9%,101.88
340,Transitioning,Defined Contribution,Pension Scheme,Segregated funds,2019,0,367," 216,394,901.00 "," 589,631.88 ",1%,98%,#N/A,9%,0%,0,5%,9%,102.55
342,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,176," 195,524,151.00 "," 1,110,932.68 ",0%,31%,#N/A,11%,0%,0,7%,10%,101.78
342,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,176," 220,320,382.00 "," 1,251,820.35 ",0%,29%,#N/A,8%,0%,0,7%,13%,103.78
342,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,202," 254,388,933.00 "," 1,259,351.15 ",0%,18%,#N/A,8%,0%,0,7%,10%,101.78
342,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,221," 302,205,099.00 "," 1,367,443.89 ",1%,15%,#N/A,11%,0%,0,5%,10%,103.37
342,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,261," 332,579,591.00 "," 1,274,251.31 ",1%,45%,#N/A,6%,0%,0,6%,9%,101.88
342,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,269," 428,739,706.00 "," 1,593,827.90 ",1%,10%,#N/A,14%,0%,0,5%,9%,102.55
342,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,275," 480,177,911.00 "," 1,746,101.49 ",1%,37%,#N/A,7%,0%,0,5%,7%,109.51
342,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,0," 554,242,035.00 ", -   ,1%,34%,2.41,11%,0%,1,6%,7%,111.93
342,Active,Defined Contribution,Provident Fund,Segregated funds,2022,5,300," 615,791,642.00 "," 2,052,638.81 ",1%,22%,3.04,2%,0%,1,9%,9%,121.95
342,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,319," 637,331,711.00 "," 1,997,905.05 ",1%,66%,2.64,-2%,0%,1,7%,13%,151.77
342,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,346," 862,094,347.00 "," 2,491,602.16 ",1%,23%,3.02,25%,0%,1,#N/A,#N/A,151.77
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,40," 261,951,478.00 "," 6,548,786.95 ",0%,18%,#N/A,12%,1%,0,7%,10%,101.78
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,33," 303,454,959.00 "," 9,195,604.82 ",0%,53%,#N/A,12%,0%,0,7%,13%,103.78
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,40," 368,205,597.00 "," 9,205,139.93 ",0%,27%,#N/A,10%,0%,0,7%,10%,101.78
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,35," 430,250,202.00 "," 12,292,862.91 ",0%,35%,#N/A,10%,0%,0,5%,10%,103.37
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,27," 408,232,117.00 "," 15,119,708.04 ",1%,128%,#N/A,10%,0%,0,6%,9%,101.88
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,1651," 2,622,077,306.00 "," 1,588,175.23 ",0%,-665%,#N/A,7%,0%,0,5%,9%,102.55
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,1623," 2,607,948,483.00 "," 1,606,869.06 ",0%,103%,#N/A,10%,0%,0,5%,7%,109.51
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,0," 2,612,813,349.00 ", -   ,0%,16%,3.6,109%,0%,5,6%,7%,111.93
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,2854," 2,842,214,713.00 "," 995,870.61 ",0%,57%,3.03,9%,0%,5,9%,9%,121.95
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,0,2886," 3,249,245,484.00 "," 1,125,864.69 ",0%,32%,#N/A,10%,0%,0,7%,13%,151.77
343,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,0," 3,592,050,875.00 ", -   ,0%,48%,1.9,9%,0%,1,#N/A,#N/A,151.77
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 92,290,660.00 ", -   ,0%,8%,#N/A,9%,0%,0,7%,10%,101.78
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,18," 107,501,910.00 "," 5,972,328.33 ",0%,6%,#N/A,7%,0%,0,7%,13%,103.78
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,18," 124,828,248.00 "," 6,934,902.67 ",0%,9%,#N/A,8%,0%,0,7%,10%,101.78
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,19," 76,722,638.80 "," 4,038,033.62 ",0%,381%,#N/A,12%,0%,0,5%,10%,103.37
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,19," 88,250,950.00 "," 4,644,786.84 ",0%,20%,#N/A,8%,0%,0,6%,9%,101.88
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,15," 100,374,724.00 "," 6,691,648.27 ",0%,28%,#N/A,9%,0%,0,5%,9%,102.55
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,14," 115,668,320.00 "," 8,262,022.86 ",0%,6%,#N/A,7%,0%,0,5%,7%,109.51
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,14," 133,560,008.00 "," 9,540,000.57 ",0%,8%,2.67,8%,0%,5,6%,7%,111.93
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,14," 150,193,515.00 "," 10,728,108.21 ",0%,8%,2.5,6%,0%,5,9%,9%,121.95
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,0,0," 172,892,652.00 ", -   ,0%,10%,#N/A,9%,0%,0,7%,13%,151.77
345,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,14," 11,176,680.00 "," 798,334.29 ",0%,1106%,3.05,144%,0%,1,#N/A,#N/A,151.77
346,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,82," 178,181,869.00 "," 2,172,949.62 ",2%,67%,#N/A,12%,2%,0,7%,10%,101.78
